generation,num_eval,time,kendalltau,rank_dif,rmse
1,6,1956.709036111832,-0.0266666666666666,220.0,51.29546636338719
2,9,1978.158542394638,0.0434057366141215,206.0,50.35251646299989
3,12,2017.6718847751613,-0.0333333333333333,212.0,50.3353396393348
4,15,2035.141725540161,0.0999999999999999,190.0,50.95152249967848
5,18,2016.016105651856,0.1066666666666666,188.0,12601.437786986677
6,21,2022.6659893989563,0.0666666666666666,204.0,12311.065213714091
7,24,2013.1409509181976,-0.1933333333333333,252.0,8501.578029629956
8,27,1959.890605688095,0.0199999999999999,200.0,9284.18567392404
9,30,1977.10942029953,-0.0399999999999999,226.0,8454.25140640599
10,33,1993.21594119072,-0.0333333333333333,222.0,7692.233014668739
11,36,1976.858963251114,0.0,216.0,7570.065308940899
12,39,1968.7609145641327,0.0066666666666666,210.0,7545.012231926329
13,42,2035.048080921173,0.0199999999999999,208.0,6520.207947476114
14,45,2041.953232049942,-0.0466666666666666,220.0,5281.594982213004
15,48,2057.6096653938293,0.0933333333333333,188.0,6726.542586950453
16,51,2056.531314849853,0.1199999999999999,176.0,6436.99544661908
17,54,2001.32079744339,0.0999999999999999,184.0,6759.313565458849
18,57,2008.203304052353,0.0999999999999999,184.0,6601.462335649092
19,60,2020.7344427108765,0.0999999999999999,186.0,6346.428182487605
20,63,3380.9842274188995,0.0266666666666666,186.0,5589.024446556205
21,66,3428.5623705387115,-0.0266666666666666,206.0,4933.848245334762
22,69,3460.8768997192383,0.0199999999999999,198.0,5016.719497868894
23,72,3377.859623670578,0.0,200.0,5009.682954036682
24,75,3418.3700108528137,0.0,198.0,4940.776672224184
25,78,3383.0468559265137,-0.0333333333333333,206.0,4733.995857653064
26,81,3355.094205379486,-0.0199999999999999,200.0,4292.875561386131
27,84,3066.875147104264,0.0,202.0,4147.199998981875
28,87,3127.8436336517334,0.0,200.0,4091.648152893472
29,90,3139.3910150527954,-0.0266666666666666,206.0,3940.6328850956847
30,93,3108.249528169632,-0.0199999999999999,206.0,3896.03397271701
31,96,3179.4531483650208,0.0,202.0,3595.715760755776
32,99,3087.8957335948944,0.0199999999999999,194.0,3591.2819951571296
33,102,3182.312855482101,0.0333333333333333,190.0,3300.19950569222
34,105,3044.8436970710754,0.0199999999999999,194.0,3513.3753481371705
35,108,3089.093459367752,0.0,202.0,3641.4761793836033
36,111,2906.4680337905884,0.0066666666666666,200.0,3569.711276172329
37,114,2917.2186646461487,0.0133333333333333,200.0,3522.1819479964543
38,117,2953.546857595444,0.0066666666666666,202.0,3376.196998097079
39,120,2960.390486478805,0.0199999999999999,196.0,3186.7423867702523
40,123,2973.312893152237,-0.0399999999999999,208.0,3379.069641258625
41,126,3011.12491774559,-0.0133333333333333,202.0,3261.500097280688
42,129,3004.499771118164,0.0133333333333333,200.0,3256.114394353514
43,132,2924.361784696579,0.0199999999999999,196.0,2954.992090739104
44,135,3017.8435015678406,-0.0799999999999999,212.0,3152.8516835132027
45,138,3048.968162536621,0.0466666666666666,198.0,3085.964319432598
46,141,2945.717209100724,0.0133333333333333,198.0,3076.396617143801
47,144,2850.5334899425507,-0.0733333333333333,210.0,3152.088256019015
48,147,2151.7968389987946,-0.0799999999999999,210.0,3106.3543861203943
49,150,2145.7203936576843,0.0666666666666666,198.0,3060.0338462742566
50,153,2138.414433717728,-0.0066666666666666,214.0,3032.248151609408
51,156,2133.9724202156067,-0.0266666666666666,220.0,3012.1692921147987
52,159,2129.3473176956177,-0.1399999999999999,228.0,2917.1143247074333
53,162,2103.609423398972,-0.1533333333333333,228.0,2832.242359982778
54,165,2115.5768673419952,-0.1533333333333333,228.0,2807.1380890463547
55,168,2146.409934282303,-0.1533333333333333,228.0,2800.0078369854145
56,171,2153.8805871009827,-0.1599999999999999,228.0,2743.554266464207
57,174,2141.972806930542,0.0,212.0,2382.579187297056
58,177,2092.872307300568,0.0,214.0,2221.7748517298787
59,180,2090.9421112537384,-0.0999999999999999,222.0,2502.6706605750223
60,183,2141.580806016922,-0.09999999999999998,220.0,2406.6702223273114
