generation,num_eval,time,evaluation,size,active_node
0,6,275.7032780647278,18.33151865005493,5225363,12
1,9,3409.0934767723083,14.836209177970886,429587,8
2,12,5053.234855890274,11.807551920413973,4931107,6
3,15,3596.1718456745148,11.807551920413973,4931107,6
4,18,3649.078197956085,11.807551920413973,4931107,6
5,21,3411.3904054164886,11.807551920413973,4931107,6
6,24,3001.609344244004,11.807551920413973,4931107,6
7,27,3713.79664683342,10.934227108955383,3847754,9
8,30,3043.999918222428,10.934227108955383,3847754,9
9,33,3341.594102859497,10.934227108955383,3847754,9
10,36,3639.501344680786,10.934227108955383,3847754,9
11,39,3245.234410762787,10.934227108955383,3847754,9
12,42,4024.0054428577423,10.934227108955383,3847754,9
13,45,3162.432049036026,10.934227108955383,3847754,9
14,48,3012.421947479248,10.934227108955383,3847754,9
15,51,3125.6249635219574,10.934227108955383,3847754,9
16,54,3634.515596866608,10.934227108955383,3847754,9
17,57,3915.578203678131,10.934227108955383,3847754,9
18,60,3043.865249633789,10.934227108955383,3847754,9
19,63,2923.89063167572,10.934227108955383,3847754,9
20,66,4126.765601396561,10.934227108955383,3847754,9
21,69,3573.5629200935364,10.934227108955383,3847754,9
22,72,4426.796469211578,10.31893515586853,6811155,11
23,75,4894.124969482422,10.31893515586853,6811155,11
24,78,4733.653244018555,10.31893515586853,6811155,11
25,81,4302.190958499908,10.31893515586853,6811155,11
26,84,5490.858943939209,10.31893515586853,6811155,11
27,87,5119.703152179718,10.31893515586853,6811155,11
28,90,5228.422004699707,10.31893515586853,6811155,11
29,93,4673.921744346619,10.31893515586853,6811155,11
30,96,6132.296756029129,10.31893515586853,6811155,11
31,99,4979.422871828079,10.05232274532318,4816586,9
32,102,4061.7893137931824,10.05232274532318,4816586,9
33,105,4485.921961307526,10.05232274532318,4816586,9
34,108,4316.999518632889,10.05232274532318,4816586,9
35,111,5045.297013998032,10.05232274532318,4816586,9
36,114,4056.703012704849,10.05232274532318,4816586,9
37,117,5126.603296756744,10.05232274532318,4816586,9
38,120,6285.037341594696,10.05232274532318,4816586,9
39,123,4859.796892404556,10.05232274532318,4816586,9
40,126,4398.094174623489,10.05232274532318,4816586,9
41,129,4247.936929941177,10.05232274532318,4816586,9
42,132,5080.593838214874,10.05232274532318,4816586,9
43,135,4184.250017404556,10.05232274532318,4816586,9
44,138,4126.352016925812,10.05232274532318,4816586,9
45,141,4630.488399028778,10.05232274532318,4816586,9
46,144,3894.360618114472,10.05232274532318,4816586,9
47,147,4145.158972978592,10.05232274532318,4816586,9
48,150,4475.736800193787,10.05232274532318,4816586,9
49,153,4139.626293420792,10.05232274532318,4816586,9
50,156,3701.906169891357,10.05232274532318,4816586,9
51,159,4425.999956130981,10.05232274532318,4816586,9
52,162,3244.6876969337463,10.05232274532318,4816586,9
53,165,3836.114421367645,10.05232274532318,4816586,9
54,168,4278.533666372299,10.05232274532318,4816586,9
55,171,3460.593782901764,10.05232274532318,4816586,9
56,174,3813.8905761241913,10.05232274532318,4816586,9
57,177,3114.84001493454,10.05232274532318,4816586,9
58,180,3707.97430729866,10.05232274532318,4816586,9
59,183,3797.8820128440857,10.05232274532318,4816586,9
60,186,3964.7777943611145,10.052322745323181,4816586,9
